no,page,page_annot_no,type,subject,author,created,modified,comment,x0,y0,x1,y1,id
1,1,1,Text,附注,YUN PENG,2026-04-29 11:58:00 +08:00,2026-04-29 15:41:14 +08:00,不要在正文中直接提huawei，写某大型ICT公司就行。我看你全篇都在提，你去看看之前的ind的paper，看看有没有提公司，有的话也行吧。。。,174.74,318.28,198.74,342.28,1fb43990-99c4-df4b-b66b-288a80acb7a2
2,1,2,Text,附注,YUN PENG,2026-04-29 15:32:32 +08:00,2026-04-29 15:33:15 +08:00,这个写的太奇怪了，你要写现在coding agents刷榜刷的很厉害，但是在实际开发过程中的效果未知。,228.57,341.99,252.57,365.99,15760ce4-dceb-704b-80f6-bed163de9282
3,1,3,Text,附注,YUN PENG,2026-04-29 15:34:57 +08:00,2026-04-29 15:35:40 +08:00,contribution是放到最后讲的，如果这是你的方法，那要motivate一下为啥需要这个方法，每一个gate的作用是啥。,168.33,410.56,192.33,434.56,d5f74fab-5856-f243-9ec1-e699152254e9
4,1,4,Text,附注,YUN PENG,2026-04-29 15:36:02 +08:00,2026-04-29 15:38:12 +08:00,没有看出来这部分跟前面那一段之间的关系，如果是个empirical study的话，这部分应该才是主要的内容，那前面那一段就要motivate你这个empirical study，为啥要选这些instance,186.91,525.92,210.91,549.92,5722da1c-3073-cf41-b842-a594cb37e353
5,1,5,Text,附注,YUN PENG,2026-04-29 15:41:31 +08:00,2026-04-29 15:41:58 +08:00,这种公司政策方面的claim要慎重，容易被合规审计。,400.95,477.85,424.95,501.85,971bea34-a665-8b44-b144-942fef9dd65d
6,1,6,Text,附注,YUN PENG,2026-04-29 15:42:16 +08:00,2026-04-29 15:43:29 +08:00,这个问题跟现在的FEABench、SWEBench之类的有何区别？需要在问题里面就要明确，比如说agent在工业级/系统级的开发能力如何？,399.67,521.43,423.67,545.43,757720b8-9d39-ab4f-92b0-356886602da2
7,1,7,Text,附注,YUN PENG,2026-04-29 15:43:36 +08:00,2026-04-29 15:43:58 +08:00,这里我建议是往工业级/系统级去说，然后顺带说一下是文件和代码修改很多的,434.92,599.61,458.92,623.61,a5c1f9bf-e5c1-d447-8298-a10bbaf33a43
8,1,8,Text,附注,YUN PENG,2026-04-29 15:44:14 +08:00,2026-04-29 15:44:37 +08:00,你这个empirical study应该不算audit吧，只是一个evaluation，audit用词感觉太严重了,376.60,659.21,400.60,683.21,a8d2e8fc-c50b-284f-9fea-50e8dcefb3ea
9,1,9,Text,附注,YUN PENG,2026-04-29 15:44:45 +08:00,2026-04-29 15:45:24 +08:00,如何定义long horizon，这里第一次出现，其实应该在前面就要关联一下这个次，还要跟SWEBench Pro做出区别，人家title里面就有这个词。,538.09,680.36,562.09,704.36,92d33bce-b7c8-754a-82a9-77ca324f656e
10,2,1,Text,附注,YUN PENG,2026-04-29 15:45:44 +08:00,2026-04-29 15:46:10 +08:00,这里为啥要用both开源和华为的项目，需要说明一下，怕开源的存在严重的数据泄露啥的。,193.32,96.55,217.32,120.55,ce180504-0138-ee45-8524-fce8e9a9cfbc
